,tweets_id,retweet_count,likes_count
145,862831371563274240,4460,17218
146,862722525377298433,3091,15339
147,862457590147678208,4255,18290
148,862096992088072192,20012,66323
149,861383897657036800,9272,32307
150,861288531465048066,3591,15355
151,861005113778896900,3339,14997
152,860981674716409858,1858,0
153,860924035999428608,679,0
154,860563773140209665,1858,6725
155,860524505164394496,4606,21266
156,860276583193509888,3074,16591
157,860184849394610176,5127,15023
158,860177593139703809,26766,0
159,859924526012018688,3584,17648
160,859851578198683649,3070,13978
161,859607811541651456,1365,16843
162,859196978902773760,26288,80599
163,859074603037188101,11977,30451
164,858860390427611136,7085,0
165,858843525470990336,3027,14128
166,858471635011153920,4265,19498
167,858107933456039936,2540,14245
168,857989990357356544,2267,14497
169,857746408056729600,9355,30830
170,857393404942143489,1444,5310
171,857263160327368704,3982,18257
172,857214891891077121,16,204
173,857062103051644929,148,0
174,857029823797047296,3493,17055
175,856543823941562368,2550,14844
176,856526610513747968,1654,10832
177,856288084350160898,15,488
178,856282028240666624,5585,25254
179,855862651834028034,21,303
180,855860136149123072,853,4409
181,855857698524602368,1862,10863
182,855851453814013952,16141,41916
183,855818117272018944,4817,24289
184,855459453768019968,7308,27116
185,855245323840757760,5269,0
186,855138241867124737,36,0
187,854732716440526848,5357,20705
188,854482394044301312,6031,26597
189,854365224396361728,4156,17212
190,854120357044912130,6601,29247
191,854010172552949760,2795,14844
192,853760880890318849,5118,26104
193,853639147608842240,8889,31576
194,853299958564483072,3172,14181
195,852936405516943360,1790,0
196,852912242202992640,1602,8258
197,852672615818899456,1914,13655
198,852553447878664193,3122,14913
199,852311364735569921,8888,30387
200,852226086759018497,6101,18364
201,852189679701164033,1419,10576
202,851591660324737024,3127,14975
203,851464819735769094,6319,22285
204,851224888060895234,5177,19066
205,850753642995093505,8092,28180
206,850380195714523136,2334,12090
207,850333567704068097,301,3192
208,850145622816686080,3401,15062
209,850019790995546112,4379,18800
210,849776966551130114,6828,27935
211,849668094696017920,4452,0
212,849412302885593088,2835,14687
213,849336543269576704,1695,10565
214,849051919805034497,7639,39059
215,848690551926992896,3931,23294
216,848324959059550208,4160,22857
217,848213670039564288,646,7547
218,848212111729840128,2722,15050
219,847978865427394560,2927,0
220,847971574464610304,396,0
221,847962785489326080,4585,21756
222,847842811428974592,1193,5020
223,847617282490613760,376,6473
224,847606175596138505,3095,17373
225,847251039262605312,3925,18994
226,847157206088847362,5263,18395
227,847116187444137987,2881,19895
228,846874817362120707,3554,18647
229,846514051647705089,10403,41243
230,846505985330044928,2765,13091
231,846153765933735936,8188,29132
